district,date,N,P,K,pH,OC,EC,Zn,Fe,Cu,Mn,Soil_Moisture,Water_pH,Water_EC,TDS,Salinity,Hardness,Temperature,Rainfall,Humidity,Wind_Speed,Solar_Radiation,Crop,Soil_Type,Will_Grow,season
Sahebganj,2037-05-20,344,29,375,6.59,0.96,1.85,4.91,12.83,2.9,19.88,31.1,6.43,2.42,361.9,1.6,70.5,35,181.3,35.1,11.7,158.1,Wheat,Loamy,0,Zaid
Bokaro,2037-05-21,330,49,405,4.87,2.01,1.08,3.81,4.83,4.87,14.48,33.72,7.54,2.93,51.7,1.02,204.4,19.8,43.5,60.3,0.5,138.4,Wheat,Sandy,0,Zaid
Khunti,2037-05-22,66,43,228,7.99,1.36,1.36,4.7,9.95,0.84,9.36,34.96,7.58,2.32,384.2,0.03,224.4,32.2,173.7,85,11.4,185.3,Pulses,Alluvial,0,Zaid
East Singhbhum,2037-05-23,114,56,177,7.18,1.21,1.04,3.76,18.32,2.07,11.22,20.52,6.98,2.57,337.5,0.86,238.7,17.4,155.4,41.7,14.3,126,Rice,Sandy,0,Zaid
East Singhbhum,2037-05-24,177,43,355,8.01,0.3,1.6,2.53,1.28,2.62,13.3,15.02,5.95,2.88,495.4,1.39,300.6,17,164.5,69.6,10.6,213.4,Maize,Alluvial,0,Zaid
Pakur,2037-05-25,217,21,86,5.32,1.52,1.88,0.97,19.17,0.87,4.91,38.13,8.47,2.16,415.7,0.4,371.7,25.3,67,42.5,2.7,140.4,Maize,Sandy,0,Zaid
West Singhbhum,2037-05-26,87,54,83,8.06,1.1,0.16,4.2,15.76,2.53,16.76,32.33,7.38,0.65,175.6,1.89,199.4,27.4,15.7,72.7,8.3,97.5,Millets,Alluvial,0,Zaid
Latehar,2037-05-27,114,29,204,7.28,2.12,0.96,2.93,15.52,2.26,7.34,30.85,8.15,1.71,146.5,1.41,112.9,20.8,158.8,65.8,1.2,82.3,Wheat,Sandy,0,Zaid
Giridih,2037-05-28,228,56,299,4.69,2.5,0.64,2.02,2.66,0.59,4.72,17.17,7.11,0.51,142.2,1.51,180.4,39.2,30.6,99.5,11.3,237.3,Pulses,Sandy,0,Zaid
Lohardaga,2037-05-29,362,14,182,5.69,2.34,1.52,0.26,9.08,0.52,2.61,22.92,6.18,1.92,191.2,0.86,339.2,25.2,166.6,31.2,4,89.7,Millets,Sandy,0,Zaid
Giridih,2037-05-30,296,15,487,6.78,2.44,1.14,4.2,9.71,1.95,13.4,38.24,6.09,1.7,134.7,1.95,338.6,26.8,123.4,53.2,11,159.7,Wheat,Loamy,1,Zaid
Deoghar,2037-05-31,68,43,284,5.17,1.87,1.64,3.26,18.1,3.64,3.22,11.15,5.93,0.31,381.5,1.21,159.6,28.5,106.8,55.5,8.4,102,Millets,Sandy,0,Zaid
Latehar,2037-06-01,99,36,291,8.3,0.82,1.4,1.11,13.41,0.69,13.68,21.79,7.53,2,226.2,2.06,326.1,37.1,88.6,63,13.8,109,Wheat,Alluvial,0,Kharif
Koderma,2037-06-02,386,27,85,6.77,1.79,0.8,3.97,2.01,1.68,18.68,28.38,8.26,0.66,135.8,0.63,115.3,20.6,83.1,32.4,2.4,193.4,Pulses,Sandy,0,Kharif
Lohardaga,2037-06-03,123,7,67,6.88,0.62,1.34,3.78,13.15,1.8,18.53,15.04,7.16,2.62,100.6,0.01,234.9,10.5,124.2,30.5,2.2,76.5,Pulses,Sandy,0,Kharif
Saraikela Kharsawan,2037-06-04,219,35,582,6.78,2.34,1.27,0.52,18.49,2.89,10.73,18.57,5.89,2.73,471.1,1.76,292.3,22.5,181.1,99,7.3,76.3,Vegetables,Black,0,Kharif
Chatra,2037-06-05,58,34,363,7.8,0.76,1.99,2.39,9.27,4.25,13.14,22.99,5.58,1.34,458.9,1.98,145.4,28.7,160.3,86.6,5.2,73.7,Vegetables,Alluvial,0,Kharif
East Singhbhum,2037-06-06,327,38,65,4.76,1.3,1.78,1.76,2.96,0.56,16.13,33.73,6.44,0.88,160,2.03,202.4,28.9,57.3,83,4.3,149.3,Maize,Sandy,0,Kharif
Ranchi,2037-06-07,81,46,295,8.12,2.32,1.87,3.13,6.08,3.39,11.7,32.51,8.32,0.36,428.4,1.47,333.3,23.5,153,41.6,10.4,232.7,Pulses,Alluvial,0,Kharif
Lohardaga,2037-06-08,195,8,459,8.42,2.33,1.12,0.15,1.3,4,14.88,18.59,7.38,2.29,125.5,2.15,56.2,22.6,156.9,64.6,7.4,232.9,Pulses,Alluvial,0,Kharif
Chatra,2037-06-09,377,17,54,7.37,0.37,0.35,4.58,2.6,4.05,18.12,30.4,8.15,0.83,391.5,2.13,282.9,35.4,123.7,94,13.9,58,Wheat,Sandy,0,Kharif
Garhwa,2037-06-10,345,8,588,4.53,0.8,1.71,4.74,7.34,2.33,18.53,34.85,6.42,0.41,285.8,0.99,306,12.9,91.2,76.7,9.3,141.5,Maize,Red Lateritic,0,Kharif
Garhwa,2037-06-11,234,17,497,5.77,1.87,0.15,4.48,12.78,0.2,7.73,10.66,6.84,0.41,491,1.82,315.8,18.7,122.1,57.9,6.2,156,Rice,Sandy,0,Kharif
Ranchi,2037-06-12,165,41,445,7.81,0.76,0.68,3.7,12.42,3.63,15.91,17.6,8.17,1.52,115.1,1.13,133.4,29.6,175.7,46.7,8.8,187.9,Maize,Alluvial,0,Kharif
Ranchi,2037-06-13,206,37,588,7.85,1.25,1.34,4.66,10.04,0.51,5.3,23.23,8.13,0.62,114.5,0.59,116.3,39.5,115.3,70.1,3.6,194.3,Pulses,Black,0,Kharif
Gumla,2037-06-14,176,43,585,6.8,0.3,1.66,3.53,5.83,4.15,3.29,11.85,8.25,2.33,164.3,0.05,249.6,29.2,11.1,61,12,59,Rice,Black,0,Kharif
Hazaribagh,2037-06-15,146,30,306,8.49,2.35,1.69,2.44,19.1,4.14,2.94,17.56,6.55,1.89,170,0.56,396.5,37,54.6,90.3,4.5,87.4,Vegetables,Alluvial,0,Kharif
Godda,2037-06-16,387,59,244,6.83,1.12,1.05,0.77,19.34,2.08,7.04,37.35,7,0.25,198.5,1.96,174.7,37.7,191.1,85.8,4.9,240.4,Vegetables,Loamy,0,Kharif
Dumka,2037-06-17,336,31,544,8.1,1.97,0.27,0.34,2.76,0.68,3.01,35.6,6.76,2.14,259,1.63,388.3,38.2,127.6,79.3,13.6,227.2,Maize,Black,0,Kharif
Sahebganj,2037-06-18,344,17,444,6.97,1.15,0.39,4.29,8.4,3.88,8.37,20.56,8.22,1.16,445.4,2.09,122.6,12.8,44.8,90.3,13.4,137.5,Vegetables,Sandy,0,Kharif
Bokaro,2037-06-19,354,7,434,8.37,1.13,0.59,0.32,16.48,1.72,6.92,24.77,7.6,1.1,61.2,1.58,63.6,18.2,100.6,86.6,13.6,146.3,Rice,Alluvial,0,Kharif
Deoghar,2037-06-20,388,38,385,7.49,0.75,1.49,2.3,7.22,0.14,7.99,38.43,6.47,0.42,228.2,1.7,73.7,30.6,93.7,94.4,7.6,103.7,Pulses,Sandy,0,Kharif
Giridih,2037-06-21,271,30,242,7.36,2.33,1.39,0.43,8.69,3.04,14.74,20.08,5.98,1.33,77.8,2.2,88.5,16.2,57.8,82.1,7.4,59.9,Maize,Sandy,0,Kharif
East Singhbhum,2037-06-22,342,11,376,5.04,2.19,1.51,2.29,6.86,3.61,18.36,22.93,5.66,0.69,395.1,2.14,379,19.7,21.4,24.4,4.1,211.9,Pulses,Sandy,0,Kharif
Latehar,2037-06-23,76,41,82,7.37,0.79,0.77,0.82,13.38,1.38,16.52,19.96,8.07,2.52,136.1,0.07,195.9,17.3,71.5,30.9,0.9,163.2,Maize,Sandy,0,Kharif
Ramgarh,2037-06-24,236,34,496,7.99,2.48,1.68,4.5,14.07,3.97,7.55,37.59,7.95,2.57,77.8,0.32,65.5,13.2,137.5,58.8,4,151.5,Rice,Alluvial,0,Kharif
Giridih,2037-06-25,222,29,433,6.92,0.49,0.25,2.46,15.9,3.67,1.34,15.78,5.57,0.88,311.1,1.8,64.3,34.5,167,39.9,13.2,151.6,Maize,Sandy,0,Kharif
Saraikela Kharsawan,2037-06-26,211,57,574,7.29,1.51,0.51,1.66,2.53,0.95,11.37,24.72,6.48,2.22,247.2,2.32,203,38.2,73.8,38.2,10.9,65.8,Wheat,Black,0,Kharif
Ranchi,2037-06-27,232,45,559,4.98,1.26,1.72,2.16,13.73,0.79,6.38,32.64,7.64,1.34,201,0.27,342.7,30.2,126,27.4,12.9,58,Vegetables,Black,1,Kharif
Ranchi,2037-06-28,346,37,225,5.05,1.22,1.8,1.94,5.08,4.44,18.35,31.03,6.1,1.31,422.5,1.26,142.4,14.9,59.5,93.3,10.8,164.1,Vegetables,Sandy,0,Kharif
Palamu,2037-06-29,72,48,350,5.32,2.28,0.87,1.56,15.87,2.96,1.83,11.87,6.52,1.78,374.3,1.42,181.3,26.5,90.9,75,6.3,74.4,Maize,Sandy,0,Kharif
Giridih,2037-06-30,389,48,505,7.23,2.45,0.38,3.35,16.51,1.5,10.77,14.64,6.33,1.5,316.9,2.12,86.8,24.5,78.5,73.1,14.5,204.8,Pulses,Black,0,Kharif
Simdega,2037-07-01,109,42,327,5.26,2.37,0.4,0.42,12.63,2.23,16.91,16.96,6.59,2.31,459.5,1.83,327.5,15.8,17.3,64.4,12.5,174.3,Rice,Sandy,0,Kharif
Bokaro,2037-07-02,130,18,207,7.35,2.5,0.44,0.88,4.71,2.59,5.39,33.44,8.17,2.56,439.3,1.61,363.4,36.5,75.9,22.5,8.8,223.9,Wheat,Sandy,0,Kharif
Sahebganj,2037-07-03,292,21,107,4.52,0.9,0.83,0.51,5.99,1.3,1.07,21.21,6.97,2.21,314.1,1.93,94.9,32.7,133.2,71.2,9.8,90.6,Rice,Red Lateritic,0,Kharif
Godda,2037-07-04,244,16,366,7.18,1.08,1.04,4.23,6.88,4.1,15.67,10.91,7.61,2.68,119.7,2.11,121.9,26.8,104.7,64,4.3,203.8,Maize,Sandy,0,Kharif
Dumka,2037-07-05,116,53,63,5.05,1.21,1.56,4.36,8.74,4.76,2.76,14.38,8.07,0.53,55.7,1.73,211.2,27.2,180.5,28.4,10.9,110.8,Wheat,Sandy,0,Kharif
Latehar,2037-07-06,138,53,258,4.67,1.63,0.17,0.21,18.38,0.91,2.51,22.85,5.77,1.65,165.4,0.75,83.3,27.5,76.7,29.1,6.6,161.3,Millets,Sandy,0,Kharif
Hazaribagh,2037-07-07,258,17,126,4.74,1.1,1.14,1.25,1.66,1.18,13.32,10.69,5.95,2.53,268.9,1,336.9,24.1,3.6,94.5,12.3,230.5,Vegetables,Sandy,0,Kharif
Dhanbad,2037-07-08,328,56,146,6.07,1,1.61,2.01,1.98,4.43,6.38,15.37,7.23,0.56,218.2,1.95,395.5,19.4,24.7,53.3,2.9,69.1,Vegetables,Sandy,0,Kharif
Deoghar,2037-07-09,59,9,368,5.42,2.1,0.43,2.48,7.6,3.7,3.21,14.32,6.13,0.18,278.3,0.83,114.3,38.9,121.3,29.5,12.3,213,Millets,Sandy,0,Kharif
Jamtara,2037-07-10,124,36,432,5.42,1.77,0.83,3.64,13.04,3.89,18.87,22.98,7.97,2.29,66.3,0.15,59.2,22.6,127,55.6,10.6,55.7,Pulses,Sandy,0,Kharif
Palamu,2037-07-11,272,35,328,6.41,0.74,0.6,0.18,11.21,4.28,14.28,18.81,5.83,2.28,109.7,2.3,54.5,39.5,118.4,42.3,0.5,141.5,Rice,Sandy,0,Kharif
Godda,2037-07-12,281,39,551,5.53,1.17,0.25,3.01,12.25,1.33,13.51,32.52,7.53,1.29,321.4,0.05,70.4,12.3,65.7,29.5,2.3,81.3,Vegetables,Black,1,Kharif
Latehar,2037-07-13,57,22,93,5.71,2.28,0.14,0.21,12.33,1.4,2.58,28.34,7.25,1.72,361.6,0.39,337,20.2,191.6,86.5,11.1,228.6,Millets,Sandy,0,Kharif
Latehar,2037-07-14,78,45,112,7.65,0.66,0.17,2.22,7.37,1.25,10.15,19.36,6.88,1.23,332.1,2.18,378.3,35.6,37.8,94.8,14.9,157.7,Rice,Alluvial,0,Kharif
Dhanbad,2037-07-15,399,9,53,8.06,1.28,1.58,2.67,6.37,1.68,18.15,14.6,6.65,0.48,428.1,0.17,271.8,11.4,96.4,24.9,11.3,189.6,Millets,Alluvial,0,Kharif
Lohardaga,2037-07-16,144,5,81,5.91,2.43,1.69,0.42,15.68,4.14,10.43,13.49,8.13,2.35,421.4,0.32,357.4,33.9,19.2,90.3,7.8,154,Rice,Sandy,0,Kharif
Sahebganj,2037-07-17,315,51,289,7.72,1.09,0.85,2.93,12.7,4.97,3.25,30.83,6.86,2.68,463.8,1.44,83.4,25.7,18.6,95.3,5.8,106.6,Wheat,Alluvial,0,Kharif
Dhanbad,2037-07-18,259,11,462,6.04,2.11,0.99,3.41,7.87,2.17,11.6,16.15,7.12,2.09,249.3,1.59,306.6,24.1,125.4,69.2,4.9,109.8,Rice,Sandy,0,Kharif
Hazaribagh,2037-07-19,117,28,372,6.46,2.47,1.9,2.77,3.42,0.37,7.27,36.17,5.51,0.53,126.9,0.34,363.9,25.8,54.5,44.7,2.5,212.5,Pulses,Loamy,0,Kharif
Giridih,2037-07-20,252,13,135,5.52,1.01,1.13,2.53,18.95,3.28,8.04,38.68,7.16,0.53,422.6,0.29,109.1,27.2,40,87.3,13.8,107.7,Vegetables,Sandy,0,Kharif
Palamu,2037-07-21,244,23,148,5.15,1.26,1.39,4.98,9.94,2.73,15.59,23.72,6.89,1.55,103.1,0.59,170.9,29.8,179.9,89.5,1.3,142.8,Maize,Sandy,0,Kharif
Giridih,2037-07-22,324,14,126,6.57,2.35,0.98,2,13.42,2.52,11.05,39.94,8.42,2.46,449.4,0.03,369.1,10,195.8,41.7,2.1,196.6,Maize,Loamy,0,Kharif
Chatra,2037-07-23,185,17,108,7.66,1.4,1.56,4.03,11.86,4.13,13.88,15.14,6.21,1.1,209,1.76,89.1,31.8,19.6,36.7,9.6,166.5,Pulses,Alluvial,0,Kharif
Garhwa,2037-07-24,358,32,547,7.94,0.81,1.62,2.2,4.66,0.35,3.33,13.96,7.52,2.35,328.6,1.41,217.2,30.9,44.3,58.9,9.2,168.8,Vegetables,Black,0,Kharif
Simdega,2037-07-25,381,41,183,7.36,0.79,0.5,1.83,7.71,4.28,7.21,27.42,7.29,2.26,393.3,1.05,252,35.6,104.7,79.8,11.7,223.7,Wheat,Sandy,0,Kharif
Simdega,2037-07-26,74,33,265,7.41,0.37,0.83,4.93,6.25,1.77,5.99,31.86,7.04,2.01,122.8,1.8,305.2,38.1,80.2,38.5,14.1,119.1,Wheat,Sandy,0,Kharif
Pakur,2037-07-27,387,52,507,4.84,0.9,1.29,3.08,6.81,3.38,18.24,16.44,8.28,1.04,235,0.68,174.9,35.6,108.1,90.5,11.3,169.2,Vegetables,Red Lateritic,0,Kharif
Dumka,2037-07-28,137,43,576,7.65,1.65,0.64,4.75,3.23,3.13,15.04,35.83,6.9,0.85,144.7,1.24,299.9,22.9,17.8,25,14.1,74,Vegetables,Black,0,Kharif
Godda,2037-07-29,294,47,453,4.93,1.4,1.76,2.63,13.32,2.64,15.53,12.51,7.64,2.24,275.3,0.24,153.6,32.5,134.3,48.5,0,129.8,Maize,Sandy,0,Kharif
Chatra,2037-07-30,344,9,426,5.58,2.48,1.6,4.39,7.34,4.08,10.46,21.13,7.74,0.23,145.9,0.81,254.1,33.9,142.5,36.2,2.2,58.9,Pulses,Sandy,0,Kharif
Giridih,2037-07-31,259,5,443,5.32,0.49,0.92,1.7,13.23,4.52,14.09,12.68,6.09,2.23,198.2,1.03,173.6,22.6,14.2,59.2,10.7,239.9,Maize,Red Lateritic,0,Kharif
Khunti,2037-08-01,135,21,453,6.21,2.2,1.39,4.7,16.27,2.1,10.68,12.43,7.91,0.93,209.3,0.86,186.7,17.9,103.6,93.2,3.1,230.1,Maize,Sandy,0,Kharif
Pakur,2037-08-02,288,25,401,7.53,0.39,0.55,2.04,3.38,2.74,12.76,16.82,5.57,2.59,438.1,2.1,354.2,14.1,133.6,82.6,10.9,219.5,Rice,Alluvial,0,Kharif
West Singhbhum,2037-08-03,182,9,578,5.91,0.27,0.43,1.49,17.33,2.89,15.41,14.12,8.26,0.49,252.4,1.74,230.9,38.9,152.6,89.9,9.4,211.5,Rice,Red Lateritic,0,Kharif
Hazaribagh,2037-08-04,199,50,463,8.4,0.28,1.88,4.4,1.08,3.63,4.47,34.56,6.73,1.67,173.7,2.22,373.6,33.7,197.2,78.8,5.3,95.4,Rice,Alluvial,0,Kharif
Chatra,2037-08-05,262,5,304,6.52,0.93,0.81,3.03,18.86,4.83,5.88,37.39,8.08,0.71,388.4,2.23,332.7,37.2,139.5,67.8,10.5,162.4,Vegetables,Loamy,0,Kharif
Garhwa,2037-08-06,325,14,182,7.88,0.35,0.69,1.37,19.91,4.72,7.16,11.67,6.9,2.19,238.8,1.57,302.5,24.3,55,59.9,0.1,104.7,Millets,Alluvial,0,Kharif
Pakur,2037-08-07,245,54,274,5.5,0.68,1.03,0.98,7.2,3.81,8.2,16.03,6.37,0.79,379,0.6,306.4,22.8,140.4,83.1,0.3,201.8,Rice,Red Lateritic,0,Kharif
East Singhbhum,2037-08-08,258,48,314,5.84,0.72,1.71,0.69,17.87,1.47,14.29,25.9,6.72,2.13,228.5,1.11,376.1,11.6,80,51,4.8,190.6,Vegetables,Red Lateritic,0,Kharif
Bokaro,2037-08-09,194,34,238,6.62,2.24,1.59,3.98,11.04,2.8,12.79,29.71,8.29,0.98,220.5,1.52,241.5,11.5,164.6,27.2,6.7,185.9,Millets,Sandy,0,Kharif
Koderma,2037-08-10,197,14,103,7.78,2.4,0.74,2.58,1.26,2.66,3.39,19.71,7.83,0.83,71.7,1.02,387.9,24,156.3,76.4,4.4,159,Maize,Alluvial,0,Kharif
Hazaribagh,2037-08-11,384,17,291,6.15,1.73,0.29,1.06,3.53,4.4,11.64,30.2,7.53,1.9,291.5,1.96,66.3,19.9,129.6,32.6,4.4,97.2,Millets,Loamy,0,Kharif
Pakur,2037-08-12,369,45,282,4.51,2.48,0.61,4.1,19.07,4.97,10.91,34.03,7.3,1.52,201.6,0.82,51.1,25.5,124.3,47.2,11.4,156.8,Pulses,Sandy,0,Kharif
East Singhbhum,2037-08-13,120,53,189,5.01,1.07,0.18,0.11,4.03,3.94,1.88,12.04,7.83,0.17,381.9,1.05,53,24.1,193.8,53.8,0.3,155.2,Millets,Sandy,0,Kharif
Palamu,2037-08-14,215,27,161,6.64,1.79,0.32,3.95,5.37,4.01,3.18,16.85,8.08,2.71,210.2,0.31,238.3,17.4,66,35.3,6.7,63.3,Rice,Sandy,0,Kharif
Simdega,2037-08-15,126,40,595,8.39,1.9,1.45,4.63,14.76,0.8,3.07,19.05,7.68,1.36,365.8,1.93,86.9,12.5,119.4,63.1,0,90.3,Maize,Black,0,Kharif
Simdega,2037-08-16,273,11,293,6.73,2.46,0.29,2.96,12.83,2.72,2.17,38.09,8.43,1.62,273,0.87,286.9,35.6,85.8,62.2,3.9,208.6,Vegetables,Loamy,0,Kharif
Gumla,2037-08-17,300,56,200,8.39,1.52,1.98,4.69,9.93,2.03,9.7,34.14,8.13,0.53,431.8,0.68,116.9,20.9,173.1,72.7,4.2,230.3,Wheat,Alluvial,0,Kharif
Saraikela Kharsawan,2037-08-18,162,56,472,6.13,1.56,0.6,4.77,10.39,3.81,17.39,20.46,7.72,1.71,171.3,0.39,241.3,32.7,60.6,27.2,14.9,69.8,Millets,Sandy,0,Kharif
Dhanbad,2037-08-19,389,48,375,5.14,1.64,0.33,3.64,4.92,1.77,10.39,33.44,7.37,0.86,345.2,0.06,298.1,14.8,169.5,82.6,7.6,80.8,Pulses,Sandy,0,Kharif
Khunti,2037-08-20,236,20,468,7.98,1,0.19,4.17,14.97,0.66,10.53,11.28,6.97,0.61,189.5,0.03,69.7,17.7,134.5,89.9,0.5,137.4,Rice,Alluvial,0,Kharif
Hazaribagh,2037-08-21,69,52,392,4.84,2.21,1.54,3.91,11.31,4.09,14.16,37.48,8.08,2.81,338,1.95,335.4,37.8,35.7,99,10.9,177.3,Vegetables,Sandy,0,Kharif
Godda,2037-08-22,143,17,418,5.7,1.89,1.37,2.93,16.25,3.02,19.64,10.11,5.73,2.6,125.2,2.18,76.7,28.8,149.2,75.2,7.5,137,Pulses,Sandy,0,Kharif
Jamtara,2037-08-23,283,28,289,7.29,0.88,1.54,3.76,10.6,0.3,1.37,30.1,5.98,2.18,374.6,1.24,76.7,33.6,56.4,58.1,5.9,172.7,Vegetables,Sandy,0,Kharif
Godda,2037-08-24,179,51,353,7,1.17,1.97,4.72,6.34,2.12,13.67,12.87,5.86,0.33,453.1,1.71,345.5,11.4,44.4,36.3,5.6,204.6,Vegetables,Sandy,0,Kharif
Lohardaga,2037-08-25,201,29,369,5.68,0.35,1.53,4.98,11.53,4.73,16.39,33,8.44,1.51,58.5,1.84,201.9,38.1,192.9,58.9,4,142.2,Maize,Red Lateritic,0,Kharif
Chatra,2037-08-26,166,19,106,8.21,0.63,0.82,3.49,11.14,1.59,14.37,30.24,7.59,0.71,442.2,2.15,235.1,21.3,90.3,58.7,10.8,116.2,Maize,Alluvial,0,Kharif
Simdega,2037-08-27,250,18,506,7.96,0.34,1.34,4.3,9,2.78,9.95,20.57,5.53,2.51,428,0.62,173.8,34.4,159.6,65.5,2.3,118.9,Rice,Black,0,Kharif
Saraikela Kharsawan,2037-08-28,366,45,443,5.54,0.97,0.61,2.42,2.16,1.92,8.96,11.72,7.44,1.53,155.6,1.66,87,38.8,186,31.5,5.2,207.1,Maize,Red Lateritic,0,Kharif
Simdega,2037-08-29,176,20,164,5.2,1.54,1.2,2.98,3.46,3.5,14.71,30.15,5.71,2.44,367.2,2.14,220.7,31.1,132.2,54.6,13.2,133.7,Rice,Sandy,0,Kharif
Latehar,2037-08-30,78,16,446,7.38,0.42,1.27,1.18,19.98,0.88,7.87,17.92,6.32,2.84,288.6,0.22,216.4,16.1,198,52.1,6.1,62.1,Wheat,Sandy,0,Kharif
Simdega,2037-08-31,230,43,213,7.83,2.16,0.86,2.66,18.06,1.66,13.55,16.2,8.33,1.12,54.7,2.36,328.5,33.6,141.6,58.3,7,148.9,Millets,Alluvial,0,Kharif
Chatra,2037-09-01,79,59,475,5.26,1.8,1.17,1.63,19.92,3.19,16.67,37.58,6.39,1.8,470.1,1.33,271.2,33.5,4.1,46.3,6.9,74,Pulses,Sandy,0,Kharif
Koderma,2037-09-02,132,17,514,5.22,1.91,1.93,4.15,18.64,2.63,4.68,16.21,6.7,1.93,393.3,1.37,259.4,16.4,45.3,92.4,8.7,137.6,Millets,Black,0,Kharif
Ramgarh,2037-09-03,86,58,122,5.11,1.3,1.42,4.61,10.76,3.8,8.09,20.01,8.3,0.97,335.2,1.44,127.2,37.8,45,46,0.5,194.5,Pulses,Sandy,0,Kharif
Chatra,2037-09-04,94,19,515,5.33,2.33,0.39,3.28,9.98,3.31,11.23,10.9,5.7,1.97,249.4,0.48,374.5,32.7,22.3,67,9.1,158.4,Pulses,Black,0,Kharif
Simdega,2037-09-05,397,26,489,5.05,1.04,1.12,0.5,13.37,1.5,16.92,13.44,7.74,2.61,379.2,0.25,200.5,15.3,141.1,94.7,7.8,131,Vegetables,Sandy,0,Kharif
Khunti,2037-09-06,299,35,205,6.63,0.57,0.63,1.5,2.77,2.75,11.45,34.03,6.22,1.96,478.9,1.85,338.7,10.4,73.2,86.7,9.2,207.6,Millets,Loamy,1,Kharif
Saraikela Kharsawan,2037-09-07,385,44,104,6.25,2.25,1.4,3.29,7.15,3.94,8.28,32.16,6.57,0.6,481.5,1.04,103.9,17.8,123.6,50.2,3.9,93.8,Maize,Loamy,0,Kharif
Bokaro,2037-09-08,263,33,565,4.79,1.22,0.95,4.91,9.19,1.99,5.47,18.35,5.89,1.35,54.2,0.26,108.9,13.4,52.4,62.8,13.7,207.8,Rice,Black,0,Kharif
Dumka,2037-09-09,221,50,428,7,2.2,0.88,1.45,14.43,1.88,14.19,38.75,6.29,2.65,136.5,1.21,249.2,28.5,137.9,87.3,9.7,57.7,Wheat,Loamy,1,Kharif
Jamtara,2037-09-10,255,52,113,7.78,1.43,0.71,0.79,3.58,1.69,8.69,36.28,8.28,1.24,319.9,0.87,204.7,21.5,15.9,98.8,13.1,136.8,Pulses,Alluvial,0,Kharif
Pakur,2037-09-11,306,39,131,7.36,1.81,0.54,4.05,10.26,4.92,7.58,27.61,7.55,2.39,184,1.96,94.7,35.6,131.4,92.9,13,227.9,Pulses,Sandy,0,Kharif
Ranchi,2037-09-12,178,5,430,6.3,0.8,0.84,4.97,15.27,4.8,18.49,17.84,7.42,2.16,67,2.27,75.6,37.2,78.2,26.9,11.7,240.5,Wheat,Sandy,0,Kharif
Ramgarh,2037-09-13,215,41,324,4.79,1.16,0.25,4.75,10.94,4.31,3.86,10.66,7.14,1,251.2,1.56,215.9,28.4,189.8,60.9,8.4,102.5,Rice,Sandy,0,Kharif
Latehar,2037-09-14,179,26,62,5.71,0.7,1.78,3.36,14.1,1.13,16.78,30.91,8.21,1.28,123.9,1.26,59.3,20.8,181,98.5,4.2,172,Pulses,Red Lateritic,0,Kharif
Pakur,2037-09-15,371,15,114,7.48,1.75,0.16,4.52,16.43,1.15,5.02,29.94,6.28,1.91,455.2,2.35,388.5,10.7,154.8,43.6,12,216,Vegetables,Sandy,0,Kharif
Dhanbad,2037-09-16,307,34,407,7.23,0.79,1.59,3.21,2.19,0.58,12.8,35.36,6.73,2.91,228.5,1.69,372,14.6,147.3,82.9,10.4,112.6,Wheat,Sandy,0,Kharif
Bokaro,2037-09-17,370,48,77,6.09,1.39,1.81,4.28,10.28,0.32,1.54,38.62,5.98,2.56,194.1,0.66,207.3,34.1,31.5,27.7,3.3,151.1,Maize,Loamy,0,Kharif
Hazaribagh,2037-09-18,369,48,334,7.23,1.79,0.42,3.57,7.19,1.17,2.06,30.03,6.25,2.27,495.8,2.27,84.6,36.4,78.4,58.2,1.2,247.6,Vegetables,Sandy,0,Kharif
Lohardaga,2037-09-19,258,37,343,6.4,1.89,1.78,0.91,11.05,2.95,5.72,39.85,6.47,0.78,471.1,0.74,301.6,21.1,160.3,58.8,14.9,130.7,Wheat,Loamy,0,Kharif
Latehar,2037-09-20,259,13,254,7.99,2.44,1.47,4.68,9.59,1.95,15.53,39.9,7.84,2.7,445.3,0.84,260,18.2,90.6,63.5,10.5,182.6,Vegetables,Alluvial,0,Kharif
Deoghar,2037-09-21,99,29,181,4.6,0.47,0.38,2.51,11.75,3.76,3.53,22.14,7.89,2.64,291.6,2.02,329,30,27.5,84.5,5,78.4,Pulses,Red Lateritic,0,Kharif
Pakur,2037-09-22,296,15,233,7.7,1.78,1.17,2.3,18.89,3.28,4.13,17.67,6.01,0.84,290.5,1.31,226.6,23.5,94.6,58.3,12.6,151.3,Vegetables,Alluvial,0,Kharif
Gumla,2037-09-23,154,18,159,6.33,0.61,1.78,4.74,13.52,2.82,19.54,28.39,6.8,1.84,110.5,1.68,258.2,15.5,147.2,21.2,4.8,95.9,Pulses,Sandy,0,Kharif
Dumka,2037-09-24,68,15,77,7.2,1.18,0.14,0.58,9.24,2.86,17.39,13.18,6.23,2.81,291.9,0.53,137.3,29,73,22,6,69.7,Millets,Sandy,0,Kharif
Deoghar,2037-09-25,96,23,502,7.26,0.95,0.14,2.29,10.73,2.53,15.67,17.87,7.29,1.83,358,2.49,320.7,19.1,110.6,84.2,12.6,139.4,Pulses,Black,0,Kharif
Garhwa,2037-09-26,147,56,217,8.31,1.6,1.2,2.75,4.31,0.63,4.14,24.5,7.41,2.97,499.6,1.71,379.5,18.2,1.6,25.5,1.1,235.1,Maize,Alluvial,0,Kharif
